raw_group_index,source_sample_count,source_sample_ids_file,max_residue_count,source_datasets,source_statuses
28,64,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000028_source_ids.txt,256,PDBbind2020;scPDB,accepted
29,60,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000029_source_ids.txt,487,PDBbind2020;scPDB,accepted;accepted_dominant_chain;accepted_pseudo_chainA
30,60,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000030_source_ids.txt,311,PDBbind2020,accepted;accepted_dominant_chain
31,60,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000031_source_ids.txt,299,PDBbind2020;scPDB,accepted;accepted_dominant_chain
32,59,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000032_source_ids.txt,818,scPDB,accepted_pseudo_chainA
33,59,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000033_source_ids.txt,772,PDBbind2020;scPDB,accepted;accepted_dominant_chain;accepted_pseudo_chainA
34,58,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000034_source_ids.txt,171,PDBbind2020;scPDB,accepted;accepted_dominant_chain
35,57,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000035_source_ids.txt,733,PDBbind2020;scPDB,accepted
36,55,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000036_source_ids.txt,346,PDBbind2020;scPDB,accepted;accepted_dominant_chain
37,53,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000037_source_ids.txt,404,PDBbind2020;scPDB,accepted;accepted_dominant_chain;accepted_pseudo_chainA
38,51,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000038_source_ids.txt,535,PDBbind2020;scPDB,accepted;accepted_dominant_chain
39,51,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000039_source_ids.txt,273,scPDB,accepted
40,47,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000040_source_ids.txt,318,PDBbind2020;scPDB,accepted;accepted_pseudo_chainA
41,47,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000041_source_ids.txt,234,PDBbind2020;scPDB,accepted;accepted_dominant_chain
42,45,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000042_source_ids.txt,186,PDBbind2020;scPDB,accepted
43,45,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000043_source_ids.txt,124,PDBbind2020,accepted;accepted_dominant_chain
44,44,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000044_source_ids.txt,173,PDBbind2020;scPDB,accepted;accepted_dominant_chain
45,43,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000045_source_ids.txt,696,PDBbind2020,accepted
46,43,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000046_source_ids.txt,316,scPDB,accepted;accepted_dominant_chain
47,42,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000047_source_ids.txt,298,PDBbind2020;scPDB,accepted;accepted_dominant_chain
48,42,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000048_source_ids.txt,232,PDBbind2020,accepted;accepted_dominant_chain
49,41,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000049_source_ids.txt,822,PDBbind2020;scPDB,accepted;accepted_dominant_chain;accepted_pseudo_chainA
50,41,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000050_source_ids.txt,264,PDBbind2020;scPDB,accepted;accepted_dominant_chain
51,41,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000051_source_ids.txt,242,PDBbind2020;scPDB,accepted;accepted_dominant_chain;accepted_pseudo_chainA
52,40,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000052_source_ids.txt,376,PDBbind2020;scPDB,accepted
53,40,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000053_source_ids.txt,254,PDBbind2020,accepted;accepted_dominant_chain
54,40,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000054_source_ids.txt,248,PDBbind2020;scPDB,accepted
55,40,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000055_source_ids.txt,242,PDBbind2020,accepted;accepted_dominant_chain
56,39,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000056_source_ids.txt,994,PDBbind2020;scPDB,accepted
57,39,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000057_source_ids.txt,583,PDBbind2020;scPDB,accepted;accepted_dominant_chain
58,39,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000058_source_ids.txt,200,PDBbind2020;scPDB,accepted;accepted_dominant_chain
59,38,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000059_source_ids.txt,396,PDBbind2020;scPDB,accepted_pseudo_chainA
60,38,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000060_source_ids.txt,348,scPDB,accepted
61,38,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000061_source_ids.txt,298,PDBbind2020;scPDB,accepted
62,38,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000062_source_ids.txt,198,PDBbind2020;scPDB,accepted
63,37,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000063_source_ids.txt,460,scPDB,accepted_dominant_chain;accepted_pseudo_chainA
64,37,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000064_source_ids.txt,353,PDBbind2020;scPDB,accepted;accepted_dominant_chain
65,37,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000065_source_ids.txt,299,scPDB,accepted_pseudo_chainA
66,36,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000066_source_ids.txt,318,scPDB,accepted;accepted_dominant_chain;accepted_pseudo_chainA
67,36,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000067_source_ids.txt,276,PDBbind2020;scPDB,accepted
68,36,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000068_source_ids.txt,218,PDBbind2020;scPDB,accepted;accepted_dominant_chain
69,36,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000069_source_ids.txt,138,PDBbind2020,accepted
70,35,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000070_source_ids.txt,1390,PDBbind2020;scPDB,accepted;accepted_dominant_chain;accepted_pseudo_chainA
71,35,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000071_source_ids.txt,555,PDBbind2020;scPDB,accepted;accepted_dominant_chain
72,35,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000072_source_ids.txt,430,PDBbind2020,accepted;accepted_dominant_chain;accepted_pseudo_chainA
73,34,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000073_source_ids.txt,889,PDBbind2020;scPDB,accepted
74,34,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000074_source_ids.txt,819,scPDB,accepted;accepted_dominant_chain;accepted_pseudo_chainA
75,34,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000075_source_ids.txt,648,PDBbind2020,accepted_pseudo_chainA
76,34,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000076_source_ids.txt,264,PDBbind2020;scPDB,accepted;accepted_dominant_chain
77,34,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000077_source_ids.txt,223,PDBbind2020,accepted;accepted_dominant_chain
78,33,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000078_source_ids.txt,666,PDBbind2020;scPDB,accepted;accepted_dominant_chain
79,33,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000079_source_ids.txt,364,PDBbind2020;scPDB,accepted;accepted_dominant_chain
80,33,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000080_source_ids.txt,298,PDBbind2020;scPDB,accepted
81,32,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000081_source_ids.txt,1921,PDBbind2020;scPDB,accepted;accepted_dominant_chain;accepted_pseudo_chainA
82,32,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000082_source_ids.txt,972,PDBbind2020;scPDB,accepted;accepted_dominant_chain;accepted_pseudo_chainA
83,32,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000083_source_ids.txt,452,PDBbind2020;scPDB,accepted;accepted_dominant_chain
84,32,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000084_source_ids.txt,357,PDBbind2020,accepted;accepted_dominant_chain
85,32,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000085_source_ids.txt,345,PDBbind2020;scPDB,accepted;accepted_dominant_chain
86,32,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000086_source_ids.txt,162,PDBbind2020;scPDB,accepted;accepted_dominant_chain
87,31,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000087_source_ids.txt,447,PDBbind2020;scPDB,accepted
88,31,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000088_source_ids.txt,329,PDBbind2020;scPDB,accepted
89,31,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000089_source_ids.txt,328,PDBbind2020;scPDB,accepted
90,31,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000090_source_ids.txt,260,PDBbind2020,accepted
91,31,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000091_source_ids.txt,238,PDBbind2020,accepted
92,30,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000092_source_ids.txt,316,PDBbind2020;scPDB,accepted
93,30,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000093_source_ids.txt,307,PDBbind2020,accepted
94,30,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000094_source_ids.txt,289,PDBbind2020;scPDB,accepted;accepted_dominant_chain
95,30,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000095_source_ids.txt,289,PDBbind2020;scPDB,accepted
96,30,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000096_source_ids.txt,268,PDBbind2020;scPDB,accepted;accepted_dominant_chain
97,29,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000097_source_ids.txt,1016,PDBbind2020,accepted
98,29,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000098_source_ids.txt,605,PDBbind2020;scPDB,accepted;accepted_dominant_chain;accepted_pseudo_chainA
99,29,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000099_source_ids.txt,517,PDBbind2020,accepted
100,29,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000100_source_ids.txt,500,PDBbind2020;scPDB,accepted;accepted_dominant_chain;accepted_pseudo_chainA
101,29,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000101_source_ids.txt,407,PDBbind2020;scPDB,accepted
102,28,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000102_source_ids.txt,300,PDBbind2020,accepted;accepted_dominant_chain
103,28,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000103_source_ids.txt,270,PDBbind2020;scPDB,accepted;accepted_dominant_chain
104,28,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000104_source_ids.txt,143,PDBbind2020,accepted;accepted_dominant_chain
105,27,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000105_source_ids.txt,444,PDBbind2020;scPDB,accepted;accepted_dominant_chain
106,27,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000106_source_ids.txt,429,PDBbind2020,accepted;accepted_dominant_chain
107,27,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000107_source_ids.txt,368,PDBbind2020;scPDB,accepted
108,27,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000108_source_ids.txt,271,PDBbind2020;scPDB,accepted;accepted_dominant_chain
109,27,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000109_source_ids.txt,268,PDBbind2020;scPDB,accepted;accepted_dominant_chain
110,27,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000110_source_ids.txt,257,PDBbind2020;scPDB,accepted
111,27,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000111_source_ids.txt,235,PDBbind2020,accepted;accepted_dominant_chain
112,27,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000112_source_ids.txt,217,PDBbind2020;scPDB,accepted;accepted_dominant_chain;accepted_pseudo_chainA
113,27,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000113_source_ids.txt,214,PDBbind2020;scPDB,accepted;accepted_dominant_chain;accepted_pseudo_chainA
114,26,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000114_source_ids.txt,563,PDBbind2020;scPDB,accepted;accepted_dominant_chain
115,26,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000115_source_ids.txt,306,PDBbind2020;scPDB,accepted;accepted_dominant_chain
116,26,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000116_source_ids.txt,271,scPDB,accepted
117,26,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000117_source_ids.txt,250,PDBbind2020;scPDB,accepted
118,26,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000118_source_ids.txt,243,PDBbind2020;scPDB,accepted;accepted_dominant_chain
119,26,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000119_source_ids.txt,240,PDBbind2020;scPDB,accepted;accepted_dominant_chain
120,26,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000120_source_ids.txt,226,PDBbind2020;scPDB,accepted;accepted_dominant_chain;accepted_pseudo_chainA
121,26,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000121_source_ids.txt,198,PDBbind2020;scPDB,accepted_pseudo_chainA
122,26,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000122_source_ids.txt,159,PDBbind2020;scPDB,accepted;accepted_dominant_chain
123,25,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000123_source_ids.txt,2239,PDBbind2020;scPDB,accepted;accepted_dominant_chain;accepted_pseudo_chainA
124,25,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000124_source_ids.txt,719,PDBbind2020;scPDB,accepted_dominant_chain;accepted_pseudo_chainA
125,25,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000125_source_ids.txt,620,PDBbind2020;scPDB,accepted
126,25,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000126_source_ids.txt,351,PDBbind2020;scPDB,accepted;accepted_dominant_chain
127,25,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000127_source_ids.txt,329,scPDB,accepted
128,25,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000128_source_ids.txt,305,PDBbind2020;scPDB,accepted;accepted_dominant_chain
129,25,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000129_source_ids.txt,304,PDBbind2020;scPDB,accepted
130,25,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000130_source_ids.txt,236,PDBbind2020,accepted;accepted_dominant_chain
131,25,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000131_source_ids.txt,198,PDBbind2020;scPDB,accepted;accepted_pseudo_chainA
132,24,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000132_source_ids.txt,728,PDBbind2020,accepted
133,24,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000133_source_ids.txt,411,scPDB,accepted_dominant_chain
134,24,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000134_source_ids.txt,391,PDBbind2020,accepted
135,24,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000135_source_ids.txt,352,PDBbind2020;scPDB,accepted;accepted_dominant_chain
136,24,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000136_source_ids.txt,350,PDBbind2020;scPDB,accepted;accepted_dominant_chain
137,24,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000137_source_ids.txt,238,scPDB,accepted;accepted_dominant_chain
138,24,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000138_source_ids.txt,233,PDBbind2020,accepted;accepted_dominant_chain
139,24,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000139_source_ids.txt,136,PDBbind2020;scPDB,accepted
140,23,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000140_source_ids.txt,1374,PDBbind2020;scPDB,accepted;accepted_dominant_chain;accepted_pseudo_chainA
141,23,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000141_source_ids.txt,396,PDBbind2020;scPDB,accepted_pseudo_chainA
142,23,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000142_source_ids.txt,382,PDBbind2020;scPDB,accepted;accepted_dominant_chain
143,23,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000143_source_ids.txt,373,PDBbind2020;scPDB,accepted
144,23,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000144_source_ids.txt,316,PDBbind2020;scPDB,accepted;accepted_dominant_chain
145,23,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000145_source_ids.txt,284,PDBbind2020;scPDB,accepted
