protein_group_id,representative_global_sample_id,representative_sample_id,representative_source_dataset,representative_source_status,representative_protein_pdb,union_pocket_pdb,source_sample_count,unique_pocket_count,protein_residue_count,union_pocket_residue_count,source_sample_ids_file,dataset_label
protein_group_000011,PDBbind2020:4j03:accepted,4j03,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_pocket_union.pdb,105,7,548,277,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/source_sample_ids.txt,template
protein_group_000012,PDBbind2020:4lm1:accepted,4lm1,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000012/protein_group_000012_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000012/protein_group_000012_pocket_union.pdb,91,3,332,124,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000012/source_sample_ids.txt,template
protein_group_000013,PDBbind2020:2f3k:accepted_pseudo_chainA,2f3k,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000013/protein_group_000013_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000013/protein_group_000013_pocket_union.pdb,89,1,198,105,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000013/source_sample_ids.txt,template
protein_group_000014,PDBbind2020:2ydi:accepted,2ydi,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000014/protein_group_000014_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000014/protein_group_000014_pocket_union.pdb,75,3,280,152,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000014/source_sample_ids.txt,template
protein_group_000015,PDBbind2020:4k18:accepted,4k18,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000015/protein_group_000015_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000015/protein_group_000015_pocket_union.pdb,74,2,277,100,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000015/source_sample_ids.txt,template
protein_group_000016,PDBbind2020:6nji:accepted,6nji,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000016/protein_group_000016_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000016/protein_group_000016_pocket_union.pdb,73,2,354,146,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000016/source_sample_ids.txt,template
protein_group_000017,PDBbind2020:3g6z:accepted_dominant_chain,3g6z,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000017/protein_group_000017_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000017/protein_group_000017_pocket_union.pdb,73,2,341,168,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000017/source_sample_ids.txt,template
protein_group_000018,PDBbind2020:5owh:accepted,5owh,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000018/protein_group_000018_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000018/protein_group_000018_pocket_union.pdb,71,3,334,120,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000018/source_sample_ids.txt,template
protein_group_000019,PDBbind2020:2aoi:accepted_pseudo_chainA,2aoi,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000019/protein_group_000019_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000019/protein_group_000019_pocket_union.pdb,71,1,198,118,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000019/source_sample_ids.txt,template
protein_group_000020,PDBbind2020:4jxw:accepted,4jxw,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000020/protein_group_000020_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000020/protein_group_000020_pocket_union.pdb,70,7,358,177,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000020/source_sample_ids.txt,template
protein_group_000021,PDBbind2020:3mtb:accepted_pseudo_chainA,3mtb,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000021/protein_group_000021_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000021/protein_group_000021_pocket_union.pdb,68,8,1635,473,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000021/source_sample_ids.txt,template
protein_group_000022,PDBbind2020:2r59:accepted,2r59,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000022/protein_group_000022_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000022/protein_group_000022_pocket_union.pdb,68,8,610,212,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000022/source_sample_ids.txt,template
protein_group_000023,PDBbind2020:3hpt:accepted,3hpt,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000023/protein_group_000023_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000023/protein_group_000023_pocket_union.pdb,68,1,238,106,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000023/source_sample_ids.txt,template
protein_group_000024,PDBbind2020:2cni:accepted,2cni,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000024/protein_group_000024_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000024/protein_group_000024_pocket_union.pdb,66,3,300,160,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000024/source_sample_ids.txt,template
protein_group_000025,scPDB:1hck_1:accepted,1hck_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000025/protein_group_000025_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000025/protein_group_000025_pocket_union.pdb,65,2,294,54,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000025/source_sample_ids.txt,template
protein_group_000026,PDBbind2020:2er0:accepted,2er0,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000026/protein_group_000026_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000026/protein_group_000026_pocket_union.pdb,64,5,330,142,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000026/source_sample_ids.txt,template
protein_group_000027,PDBbind2020:3ty0:accepted,3ty0,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000027/protein_group_000027_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000027/protein_group_000027_pocket_union.pdb,64,6,277,191,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000027/source_sample_ids.txt,template
protein_group_000028,scPDB:1xj7_1:accepted,1xj7_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000028/protein_group_000028_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000028/protein_group_000028_pocket_union.pdb,64,5,256,177,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000028/source_sample_ids.txt,template
protein_group_000029,PDBbind2020:5n8b:accepted_pseudo_chainA,5n8b,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000029/protein_group_000029_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000029/protein_group_000029_pocket_union.pdb,60,4,487,239,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000029/source_sample_ids.txt,template
protein_group_000030,PDBbind2020:6u80:accepted,6u80,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000030/protein_group_000030_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000030/protein_group_000030_pocket_union.pdb,60,2,311,188,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000030/source_sample_ids.txt,template
protein_group_000031,PDBbind2020:4eos:accepted,4eos,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000031/protein_group_000031_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000031/protein_group_000031_pocket_union.pdb,60,2,299,89,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000031/source_sample_ids.txt,template
protein_group_000032,scPDB:2hx3_3:accepted_pseudo_chainA,2hx3_3,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000032/protein_group_000032_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000032/protein_group_000032_pocket_union.pdb,59,2,818,48,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000032/source_sample_ids.txt,template
protein_group_000033,PDBbind2020:4x48:accepted_pseudo_chainA,4x48,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000033/protein_group_000033_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000033/protein_group_000033_pocket_union.pdb,59,6,772,345,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000033/source_sample_ids.txt,template
protein_group_000034,PDBbind2020:1eub:accepted,1eub,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000034/protein_group_000034_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000034/protein_group_000034_pocket_union.pdb,58,3,171,108,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000034/source_sample_ids.txt,template
protein_group_000035,scPDB:3g0b_2:accepted,3g0b_2,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000035/protein_group_000035_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000035/protein_group_000035_pocket_union.pdb,57,3,733,168,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000035/source_sample_ids.txt,template
protein_group_000036,PDBbind2020:4h5c:accepted_dominant_chain,4h5c,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000036/protein_group_000036_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000036/protein_group_000036_pocket_union.pdb,55,5,346,205,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000036/source_sample_ids.txt,template
protein_group_000037,PDBbind2020:5j7f:accepted_pseudo_chainA,5j7f,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000037/protein_group_000037_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000037/protein_group_000037_pocket_union.pdb,53,4,404,283,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000037/source_sample_ids.txt,template
protein_group_000038,PDBbind2020:3zv7:accepted,3zv7,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000038/protein_group_000038_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000038/protein_group_000038_pocket_union.pdb,51,4,535,163,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000038/source_sample_ids.txt,template
protein_group_000039,scPDB:1d9i_1:accepted,1d9i_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000039/protein_group_000039_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000039/protein_group_000039_pocket_union.pdb,51,1,273,58,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000039/source_sample_ids.txt,template
protein_group_000040,scPDB:4h49_1:accepted_pseudo_chainA,4h49_1,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000040/protein_group_000040_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000040/protein_group_000040_pocket_union.pdb,47,3,318,113,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000040/source_sample_ids.txt,template
protein_group_000041,PDBbind2020:5i8g:accepted,5i8g,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000041/protein_group_000041_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000041/protein_group_000041_pocket_union.pdb,47,2,234,65,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000041/source_sample_ids.txt,template
protein_group_000042,PDBbind2020:3s7a:accepted,3s7a,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000042/protein_group_000042_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000042/protein_group_000042_pocket_union.pdb,45,3,186,97,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000042/source_sample_ids.txt,template
protein_group_000043,PDBbind2020:1jn4:accepted,1jn4,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000043/protein_group_000043_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000043/protein_group_000043_pocket_union.pdb,45,3,124,95,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000043/source_sample_ids.txt,template
protein_group_000044,PDBbind2020:1bm6:accepted,1bm6,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000044/protein_group_000044_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000044/protein_group_000044_pocket_union.pdb,44,3,173,111,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000044/source_sample_ids.txt,template
protein_group_000045,PDBbind2020:2xei:accepted,2xei,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000045/protein_group_000045_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000045/protein_group_000045_pocket_union.pdb,43,1,696,181,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000045/source_sample_ids.txt,template
protein_group_000046,scPDB:2j8t_1:accepted,2j8t_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000046/protein_group_000046_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000046/protein_group_000046_pocket_union.pdb,43,3,316,78,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000046/source_sample_ids.txt,template
protein_group_000047,PDBbind2020:4jia:accepted,4jia,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000047/protein_group_000047_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000047/protein_group_000047_pocket_union.pdb,42,2,298,102,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000047/source_sample_ids.txt,template
protein_group_000048,PDBbind2020:5q13:accepted,5q13,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000048/protein_group_000048_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000048/protein_group_000048_pocket_union.pdb,42,1,232,137,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000048/source_sample_ids.txt,template
protein_group_000049,PDBbind2020:5tbp:accepted_pseudo_chainA,5tbp,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000049/protein_group_000049_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000049/protein_group_000049_pocket_union.pdb,41,6,822,327,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000049/source_sample_ids.txt,template
protein_group_000050,PDBbind2020:4a6v:accepted,4a6v,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000050/protein_group_000050_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000050/protein_group_000050_pocket_union.pdb,41,2,264,88,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000050/source_sample_ids.txt,template
protein_group_000051,PDBbind2020:1jq9:accepted_pseudo_chainA,1jq9,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000051/protein_group_000051_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000051/protein_group_000051_pocket_union.pdb,41,7,242,168,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000051/source_sample_ids.txt,template
protein_group_000052,scPDB:1q2r_1:accepted,1q2r_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000052/protein_group_000052_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000052/protein_group_000052_pocket_union.pdb,40,2,376,130,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000052/source_sample_ids.txt,template
protein_group_000053,PDBbind2020:1z6j:accepted,1z6j,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000053/protein_group_000053_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000053/protein_group_000053_pocket_union.pdb,40,2,254,153,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000053/source_sample_ids.txt,template
protein_group_000054,PDBbind2020:5wxp:accepted,5wxp,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000054/protein_group_000054_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000054/protein_group_000054_pocket_union.pdb,40,2,248,127,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000054/source_sample_ids.txt,template
protein_group_000055,PDBbind2020:5dtk:accepted_dominant_chain,5dtk,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000055/protein_group_000055_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000055/protein_group_000055_pocket_union.pdb,40,1,242,74,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000055/source_sample_ids.txt,template
protein_group_000056,PDBbind2020:3nan:accepted,3nan,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000056/protein_group_000056_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000056/protein_group_000056_pocket_union.pdb,39,7,994,296,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000056/source_sample_ids.txt,template
protein_group_000057,PDBbind2020:1h9z:accepted,1h9z,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000057/protein_group_000057_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000057/protein_group_000057_pocket_union.pdb,39,14,583,285,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000057/source_sample_ids.txt,template
protein_group_000058,PDBbind2020:5mym:accepted_dominant_chain,5mym,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000058/protein_group_000058_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000058/protein_group_000058_pocket_union.pdb,39,3,200,127,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000058/source_sample_ids.txt,template
protein_group_000059,scPDB:1a8k_1:accepted_pseudo_chainA,1a8k_1,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000059/protein_group_000059_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000059/protein_group_000059_pocket_union.pdb,38,3,396,152,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000059/source_sample_ids.txt,template
protein_group_000060,scPDB:1jh8_1:accepted,1jh8_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000060/protein_group_000060_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000060/protein_group_000060_pocket_union.pdb,38,4,348,44,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000060/source_sample_ids.txt,template
